    0.10222222E+02    0.15036284E-04    0.22641529E-03    0.24145158E-03    0.32163476E-02    0.66410195E-01    0.75070112E-01    0.68821996E-03    0.55044359E-03    0.24441311E-02
    0.12277778E+02    0.11170174E-03    0.14402535E-02    0.15519552E-02    0.18495041E-01    0.77556998E-01    0.83911965E-01    0.43778456E-02    0.35380337E-02    0.14054546E-01
    0.14333333E+02    0.45381507E-03    0.51253074E-02    0.55791225E-02    0.58724473E-01    0.88543970E-01    0.95005067E-01    0.15579066E-01    0.12718874E-01    0.44625248E-01
    0.16388889E+02    0.12706641E-02    0.12843357E-01    0.14114022E-01    0.13259762E+00    0.98935509E-01    0.10644250E+00    0.39039125E-01    0.32176111E-01    0.10076211E+00
    0.18444444E+02    0.27847378E-02    0.25600263E-01    0.28385001E-01    0.24135623E+00    0.10877770E+00    0.11760625E+00    0.77815469E-01    0.64710043E-01    0.18340874E+00
    0.20500000E+02    0.51522940E-02    0.43621997E-01    0.48774291E-01    0.38016745E+00    0.11811229E+00    0.12829686E+00    0.13259497E+00    0.11119205E+00    0.28889262E+00
    0.22555556E+02    0.84412561E-02    0.66483153E-01    0.74924409E-01    0.54115472E+00    0.12696835E+00    0.13845284E+00    0.20208455E+00    0.17080717E+00    0.41122827E+00
    0.24611111E+02    0.12638690E-01    0.93364446E-01    0.10600314E+00    0.71593521E+00    0.13536941E+00    0.14806247E+00    0.28379389E+00    0.24165817E+00    0.54404552E+00
    0.26666667E+02    0.17672085E-01    0.12329078E+00    0.14096287E+00    0.89709547E+00    0.14333663E+00    0.15713251E+00    0.37475904E+00    0.32135680E+00    0.68171081E+00
    0.28722222E+02    0.23432760E-01    0.15529731E+00    0.17873007E+00    0.10787917E+01    0.15088966E+00    0.16567617E+00    0.47204723E+00    0.40745571E+00    0.81978338E+00
    0.30777778E+02    0.29795582E-01    0.18852403E+00    0.21831961E+00    0.12568221E+01    0.15804660E+00    0.17370765E+00    0.57304433E+00    0.49770903E+00    0.95507025E+00
